,Unnamed: 0,date,rawContent,cleaned_content,english_relative_frequency
2049,49,2022-01-22 23:08:47+00:00,@imyourdijjxh @arutooy Fb nya yah makasih,fb nya yah makasih,0.5
2053,53,2022-01-22 23:04:49+00:00,Good morning bucin mummy yang masih lena diulit mimpi ❤ https://t.co/bMV8pC1Wrs,good morning bucin mummy yang masih lena diulit mimpi,0.5555555555555556
2054,54,2022-01-22 23:02:09+00:00,Any work..immortal bi mga tao sa sg..hahaha https://t.co/kBgPVf0Hk3,any workimmortal bi mga tao sa sghahaha,0.5714285714285714
2056,56,2022-01-22 22:58:46+00:00,Acaba de publicar una foto en Singapore / Singapura / 新加坡 / சிங்கப்பூர் https://t.co/HKtmJhFQqB,acaba de publicar una foto en singapore singapura,0.5
2060,60,2022-01-22 22:53:48+00:00,"@me_aey28 Ada yg gak kalah cantik 

Masjid Sultan Mahmud Riayat Syah 
Terbesar se Asia Tenggara 
Ada di Batam 🤗",ada yg gak kalah cantik masjid sultan mahmud riayat syah terbesar se asia tenggara ada di batam,0.5294117647058824
2069,69,2022-01-22 22:42:02+00:00,@trexoluv @treasuremenfess Oke thank you teum,oke thank you teum,0.5
2093,93,2022-01-22 21:20:16+00:00,#KevinDurant #NBAAllStar KD captain,kd captain,0.5
2101,1,2022-01-23 23:59:43+00:00,"TQ abam polis sebab Jaga...
Hopefully setiap ISNIN - KHAMIS tolong la jaga ya....abam xde jalan sume jem. At least abam Ada, smooth sikit la.... TQ again. Kekalkan momentum ni ya https://t.co/xX1hZ6nbrN",tq abam polis sebab jaga hopefully setiap isnin khamis tolong la jaga yaabam xde jalan sume jem at least abam ada smooth sikit la tq again kekalkan momentum ni ya,0.5333333333333333
2105,5,2022-01-23 23:56:16+00:00,CLOWN SUPLEX,clown suplex,0.5
2119,19,2022-01-23 23:41:30+00:00,Agak agak kat persimpangan Pekan Nenas - Gelang Patah Tu Ada @PolisJohor @polisjbu Jaga X????? Baru kuar simpang Pulai Mutiara dh panjang berjela dah ni... tahu la nak PRN xkan xley jaga traffic! Jangan la merah la punch arini 😣 https://t.co/QDG6AtWhpr,agak agak kat persimpangan pekan nenas gelang patah tu ada jaga x baru kuar simpang pulai mutiara dh panjang berjela dah ni tahu la nak prn xkan xley jaga traffic jangan la merah la punch arini,0.5555555555555556
2137,37,2022-01-23 23:26:37+00:00,@avalanchelynn colourblind friendly!,colourblind friendly,0.5
2143,43,2022-01-23 23:22:02+00:00,"Simisai 😔

Wordle 219 X/6

⬜⬜⬜🟧⬜
⬜🟦⬜⬜⬜
⬜⬜⬜⬜⬜
⬜⬜🟧⬜⬜
⬜⬜🟧⬜⬜
⬜⬜🟧🟧⬜",simisai wordle 219 x6,0.5
2144,44,2022-01-23 23:21:17+00:00,@0xBlockflop GM bro 😀🤙,gm bro,0.5
2155,55,2022-01-23 23:04:33+00:00,@azrulazwarsam Di mana nampak iklan pun nak tahu jugak. Hilang terus customer,di mana nampak iklan pun nak tahu jugak hilang terus customer,0.5454545454545454
2157,57,2022-01-23 23:04:03+00:00,@AdzimShamsul Kannnn. Letih nak interact,kannnn letih nak interact,0.5
