,date,rawContent,cleaned_content
51,2022-10-04 12:46:09+00:00,"@AMBichotte @GeorgeArztComm @bkdems @AlvaradoMcCalla @Yamilzz @CityAndStateNY @PoliticsNYnews @thebkyoungdems @errollouis @TheBKReader @CLifeNews @caribnews @NYDailyNews @nytimes @nypost Stop.  Just stop with the press releases.  It's all fine and dandy till you hashtag #unified #Brooklyn ... then people just get angry.  Stop.  Stop with the lies.  Stop with the hollow, vapid, press releases.  Just stop.  We are the Democratic Party of Brooklyn. It's embarassing.",stop just stop with the press releases its all fine and dandy till you hashtag then people just get angry stop stop with the lies stop with the hollow vapid press releases just stop we are the democratic party of brooklyn its embarassing
52,2022-10-04 12:46:09+00:00,@asivilexo You gonna blame her for everything?😭😭😭,you gonna blame her for everything
53,2022-10-04 12:46:09+00:00,@chandliel Tive que descer o perfil todo da mona pra ter certeza kkkkk,tive que descer o perfil todo da mona pra ter certeza kkkkk
54,2022-10-04 12:46:09+00:00,@dpa722 @matoxley Well I prefer the Schumacher dominant than 2014 and F1 seems to be doing fine .,well i prefer the schumacher dominant than 2014 and f1 seems to be doing fine
55,2022-10-04 12:46:09+00:00,Herschel Walker’s son lashes out at dad after news report the Senate GOP nominee paid for an abortion in 2009 https://t.co/E6Z4IiC99p,herschel walkers son lashes out at dad after news report the senate gop nominee paid for an abortion in 2009
56,2022-10-04 12:46:09+00:00,"I want to add that RC isn’t just a relic from our past.  During my presidency, I relied on her to actively edit and review LID’s work, both to give me a gut-check and ensure our work was accurate and consistent.  The double-whammy is CC losing active knowledge and participation. https://t.co/kJOR4nqjT9",i want to add that rc isnt just a relic from our past during my presidency i relied on her to actively edit and review lids work both to give me a gutcheck and ensure our work was accurate and consistent the doublewhammy is cc losing active knowledge and participation
57,2022-10-04 12:46:08+00:00,"One of them spat back, ""The problem with you, Shanafelt, is you think everyone is smart."" Uh? Of course they all did great on the exam; but they were in a campus culture in which everything is out to get them--every test, every paper is a trick. It's bad for their confidence!",one of them spat back the problem with you shanafelt is you think everyone is smart uh of course they all did great on the exam but they were in a campus culture in which everything is out to get themevery test every paper is a trick its bad for their confidence
58,2022-10-04 12:46:08+00:00,@KissMyMahogany Facts no warning no nothing,facts no warning no nothing
59,2022-10-04 12:46:08+00:00,Democrats deliver. Again. https://t.co/jhMhNWOJ9H,democrats deliver again
60,2022-10-04 12:46:08+00:00,this 3-day rain situation/end of the hurricane is NOT it. my poor dog can’t even shit outside bc everything is flooded. its cold and wet everywhere I’m so not here for it,this 3day rain situationend of the hurricane is not it my poor dog cant even shit outside bc everything is flooded its cold and wet everywhere im so not here for it
61,2022-10-04 12:46:08+00:00,48 https://t.co/TghybCQTuA,48
62,2022-10-04 12:46:08+00:00,"But there is only so much one contingent faculty member can do alone. At one SLAC, students informed me of an emergency all-night study session they were having for my class and I asked to come and say a few words. I told them they were brilliant, that it wouldn't be a hard exam.",but there is only so much one contingent faculty member can do alone at one slac students informed me of an emergency allnight study session they were having for my class and i asked to come and say a few words i told them they were brilliant that it wouldnt be a hard exam
63,2022-10-04 12:46:08+00:00,@cursedhive First one I remember https://t.co/M3dsxJxWdJ,first one i remember
64,2022-10-04 12:46:08+00:00,"@yoopinoypunto11 @VillaFernando_ @MashiRafael Lo imaginé, no viste el video original. 
Saludos.",lo imagin no viste el video original saludos
65,2022-10-04 12:46:08+00:00,"I was always trying to figure out how to import my community-forming pedagogy into cultures of scarcity and competition without getting seen by colleagues as ""easy."" So I'd try to show again and again that you could teach those skills in ways that include everyone.",i was always trying to figure out how to import my communityforming pedagogy into cultures of scarcity and competition without getting seen by colleagues as easy so id try to show again and again that you could teach those skills in ways that include everyone
66,2022-10-04 12:46:07+00:00,Guess aint going to the gym today cause he forgot both headphones,guess aint going to the gym today cause he forgot both headphones
67,2022-10-04 12:46:07+00:00,"I feel like I'm dating myself to say this, but English at most of the colleges I've taught at has been a weed-out major, with forbiddingly hard intro courses on niche skills that are not that commonly used in upper courses. Students were terrified cramming for exams, etc.",i feel like im dating myself to say this but english at most of the colleges ive taught at has been a weedout major with forbiddingly hard intro courses on niche skills that are not that commonly used in upper courses students were terrified cramming for exams etc
68,2022-10-04 12:46:07+00:00,@coloradotravis What do you want him to do? Give Ukraine to Putin as a present?,what do you want him to do give ukraine to putin as a present
69,2022-10-04 12:46:07+00:00,@ice_cold77 @Cultaholic He probably won’t though. Cody Rhodes still has the AEW stench m him,he probably wont though cody rhodes still has the aew stench m him
70,2022-10-04 12:46:07+00:00,"🎵 Waiting for tonight, ooooohhh 🎼 @nyknicks",waiting for tonight ooooohhh
71,2022-10-04 12:46:07+00:00,@marissaloves_ morning love💗,morning love
72,2022-10-04 12:46:07+00:00,@givemeReVeluv same tell me your thoughts toooo ill listen to it,same tell me your thoughts toooo ill listen to it
73,2022-10-04 12:46:07+00:00,@youFamousEnough @mrfundemetal @JDillon330 @BIGBEAST_,
74,2022-10-04 12:46:07+00:00,Always amazes me that the NYC subway system cannot handle rain,always amazes me that the nyc subway system cannot handle rain
75,2022-10-04 12:46:06+00:00,@nftboi_ Gmgm ❤️,gmgm
76,2022-10-04 12:46:06+00:00,@asherklydi crush,crush
77,2022-10-04 12:46:06+00:00,@mitchveeek I do😍😍😍😍😍,i do
78,2022-10-04 12:46:06+00:00,사소하게 귀여운 말투를 좋아해,
79,2022-10-04 12:46:06+00:00,"@AzyG42 The world needs more corgis. Great job there, nonomom.",the world needs more corgis great job there nonomom
80,2022-10-04 12:46:06+00:00,a garlic stuffed olive a day keeps the doctor away,a garlic stuffed olive a day keeps the doctor away
81,2022-10-04 12:46:06+00:00,Que nadie te quite el deseo de vivir,que nadie te quite el deseo de vivir
82,2022-10-04 12:46:06+00:00,I’ve done this like this 3 times ngl https://t.co/FzgvMuKwIY,ive done this like this 3 times ngl
83,2022-10-04 12:46:06+00:00,@missambergee @JoshMalina @BradleyWhitford Not sure he’s got my vote based on his actions on the Gilead council.,not sure hes got my vote based on his actions on the gilead council
84,2022-10-04 12:46:06+00:00,"Credit Suisse to remain ‘under pressure’ but analysts wary of Lehman comparison ... CNBC

Credit Suisse shares continued to recover on Tuesday from the previous session’s low of 3.60 Swiss francs ($3.64), but were still down more than 53% on the year",credit suisse to remain under pressure but analysts wary of lehman comparison cnbc credit suisse shares continued to recover on tuesday from the previous sessions low of 360 swiss francs 364 but were still down more than 53 on the year
85,2022-10-04 12:46:06+00:00,"We're proud to announce we have won a competitive contract to continue delivering #AIS maritime data services for the US Department of Defense and Department of Homeland Security agencies.

Learn more in our press release: https://t.co/dDVakGVdqS

#maritime #vesseltracking #IoT https://t.co/XmjcFxEpYn",were proud to announce we have won a competitive contract to continue delivering maritime data services for the us department of defense and department of homeland security agencies learn more in our press release
86,2022-10-04 12:46:05+00:00,@JoJoFromJerz And they are still going to take the House 😂😂😂😂😂,and they are still going to take the house
87,2022-10-04 12:46:05+00:00,@lolamare69 @corykanexxx Morning Lola and Cory,morning lola and cory
88,2022-10-04 12:46:05+00:00,@RevoltToEarn @kucoincom @lyu_johnny Kucoin have CUlT  listed but not RVLT 🤔🤔🤔🤔🤔🤔🤔,kucoin have cult listed but not rvlt
89,2022-10-04 12:46:05+00:00,@SolanaRyan333 My design on the fape coin ha ha ha https://t.co/KgvtQ6msp8,my design on the fape coin ha ha ha
90,2022-10-04 12:46:05+00:00,I should start choosing my husband from this line here,i should start choosing my husband from this line here
91,2022-10-04 12:46:05+00:00,"AURELIUS Equity to buy YouBuild, MPRO from Grafton https://t.co/fmM8kKgv3A",aurelius equity to buy youbuild mpro from grafton
92,2022-10-04 12:46:05+00:00,"TFW an artist, for whom you have a TON of respect, who is also the artist and cofounder of your favorite NFT project comments on your fan art…
😮🥲🙏 And also 👇👇👇👇 https://t.co/KNeHv2oSUH https://t.co/c48QH65AE3",tfw an artist for whom you have a ton of respect who is also the artist and cofounder of your favorite nft project comments on your fan art and also
93,2022-10-04 12:46:05+00:00,@CarlosGSmith Not a good year to play this card. It’s the least active season in a long time. Might want to have some ideas about Crime and inflation,not a good year to play this card its the least active season in a long time might want to have some ideas about crime and inflation
94,2022-10-04 12:46:05+00:00,Manhattan apartment sales fell 18 percent in latest quarter as interest rates soared https://t.co/YvcRcTGwl3 https://t.co/xo7Vbg2JU6,manhattan apartment sales fell 18 percent in latest quarter as interest rates soared
95,2022-10-04 12:46:05+00:00,34 St–Hudson Yards-bound 7 trains are currently delayed at Woodside–61 St.,34 sthudson yardsbound 7 trains are currently delayed at woodside61 st
96,2022-10-04 12:46:05+00:00,"Do not get distracted.

#Christ #Focused",do not get distracted
97,2022-10-04 12:46:05+00:00,34 St–Hudson Yards-bound 7 trains are currently delayed at Woodside–61 St.,34 sthudson yardsbound 7 trains are currently delayed at woodside61 st
98,2022-10-04 12:46:05+00:00,"@Travioli92_ @Dexerto I’m just saying wife,child/ren,friend,husband,mother,grandmother the entire family getting cursed out",im just saying wifechildrenfriendhusbandmothergrandmother the entire family getting cursed out
99,2022-10-04 12:46:05+00:00,"Jennifer Lopez Is Done With 'Happy to Be Here.' She Thinks Latina Entrepreneurs Are Undervalued, So She's Working to Give Them $14 Billion in Loans. https://t.co/BMx67l1F91 #womenentrepreneurs",jennifer lopez is done with happy to be here she thinks latina entrepreneurs are undervalued so shes working to give them 14 billion in loans
