,Unnamed: 0,date,rawContent,cleaned_content,english_relative_frequency
1022,1022,2022-09-26 13:05:56+00:00,"@Self_An @tedzinski @p4piKRiS @CNNIndonesia TGUPP DKI 67 org gak pake sembunyi sembunyi pembentukannya buzzeRp sekolam pada ribut. Ini ada tim bayangan anggotanya 400 an org Yg dibentuk nya baru ketahuan setelah dibongkar BPK, buzzeRp sekolam pada diem",tgupp dki 67 org gak pake sembunyi sembunyi pembentukannya buzzerp sekolam pada ribut ini ada tim bayangan anggotanya 400 org yg dibentuk nya baru ketahuan setelah dibongkar bpk buzzerp sekolam pada diem,0.06666666666666667
1024,1024,2022-09-26 13:05:54+00:00,@Ning69760836 不要羡慕别人，别人有的ningning也有,ningning,0.0
1029,1029,2022-09-26 13:05:48+00:00,@IniAlalalannn Buat busking je depan sogo.,buat busking je depan sogo,0.0
1042,1042,2022-09-26 13:05:38+00:00,@GiveAwayHost 8.05 https://t.co/uYeZKyCVY1,8 05,0.0
1043,1043,2022-09-26 13:05:37+00:00,4Q: https://t.co/3cPuL9dCmj,4q,0.0
1053,1053,2022-09-26 13:05:26+00:00,@noshabu_nolife 5555555555555,5555555555555,0.0
1057,1057,2022-09-26 13:05:24+00:00,Fashionistas!!,fashionistas,0.0
1060,1060,2022-09-26 13:05:23+00:00,@annoyingakmal Mekaceh nyah 🦧,mekaceh nyah,0.0
1061,1061,2022-09-26 13:05:23+00:00,@hanikhow @FWBESS Bayar masing masing aja,bayar masing masing aja,0.0
1074,1074,2022-09-26 13:05:13+00:00,@GiveAwayHost Bismillahirrahmanirrahim https://t.co/w6b5rQO3Ob,bismillahirrahmanirrahim,0.0
1076,1076,2022-09-26 13:05:12+00:00,"@LoeGueNKRI_2 @PDemokrat @AgusYudhoyono Kalah Pilgub DKI..
Itu saja sih...",kalah pilgub dki itu saja sih,0.0
1101,1101,2022-09-26 13:04:51+00:00,@MonsterlandNFT @Estoopid420 @donchichigaming @ronzilla22 @paniki_17 @enrique93463193 LFG!!!!,lfg,0.0
1105,1105,2022-09-26 13:04:47+00:00,@amyleazizan Mia…,mia,0.0
1109,1109,2022-09-26 13:04:45+00:00,"@ccheyy_ @FWBESS Dramaqueen
Tukang gibah
Terlalu ambisius
Perfeksionis",dramaqueen tukang gibah terlalu ambisius perfeksionis,0.0
1136,1136,2022-09-26 13:04:23+00:00,@budibongg Bismillahirrahmanirrahim rezeki anak,bismillahirrahmanirrahim rezeki anak,0.0
1149,1149,2022-09-26 13:04:12+00:00,@Kay_Mjikwa 🤭🤭🤭🤭 Mxoleleni,mxoleleni,0.0
1157,1157,2022-09-26 13:04:06+00:00,@jajanbhlabels Ini nder https://t.co/gHtqT66lVa,ini nder,0.0
1161,1161,2022-09-26 13:04:02+00:00,@putrixut @FWBESS Cuek skinship,cuek skinship,0.0
1176,1176,2022-09-26 13:03:50+00:00,@urhornyboyf Sedapp walaupun ada gigil ciked 😆,sedapp walaupun ada gigil ciked,0.0
