,date,content,cleaned_content
44,2022-05-20 08:40:51+00:00,"@ElEdz_ Awful , looks like a rip off of a kids drawing",awful looks like rip off kids drawing
45,2022-05-20 08:40:50+00:00,If your having a tough time just watch this it will cheer you right up https://t.co/j5j1IS7omv,if your having tough time just watch this it will cheer you right up
46,2022-05-20 08:40:50+00:00,#NowPlaying #TranceFamily #Trance Saad Ayub feat. Francesca Genco - Solitude https://t.co/Gd9nLgJhCD https://t.co/VEivBsGArJ,saad ayub feat francesca genco solitude
47,2022-05-20 08:40:49+00:00,@Chrisstheko One thing I will never understand,one thing i will never understand
48,2022-05-20 08:40:44+00:00,"What is a CMS?

https://t.co/U9A7XKkAQC

#CMS #ContentManagement https://t.co/Z33hoNgZYC",what is cms
49,2022-05-20 08:40:44+00:00,@DavidGray David Gray rocking the white suit! https://t.co/Pti8lRkgQi,david gray rocking white suit
50,2022-05-20 08:40:43+00:00,"What is Online Advertising?

https://t.co/pX5WVA36Zu

#OnlineAdvertising #FreeAdvertising

Examples of Online Advertising https://t.co/naaS764y9F https://t.co/FtcUde9fIR",what is online advertising examples online advertising
51,2022-05-20 08:40:40+00:00,@nicole_gernon So we just need every TD in Ireland to donate 400 euro from their already generous salaries and that would cover this 🤔,so we just need every td ireland donate 400 euro their already generous salaries that would cover this
52,2022-05-20 08:40:38+00:00,@Gary_Y88 Schtik that roast beef on for Wednesday 😂😂😂,schtik that roast beef wednesday
53,2022-05-20 08:40:31+00:00,@BeebsyMcA Also... https://t.co/GXK9SQVs4p,also
54,2022-05-20 08:40:28+00:00,@shortieyouu_ It’s too early for this I swertagad Vicki 🙄,it s too early this i swertagad vicki
55,2022-05-20 08:40:27+00:00,EXACTLY https://t.co/MV1nu6gV82,exactly
56,2022-05-20 08:40:27+00:00,@NiecyOKeeffe Your Dad in m thoughts this morning Niecy🤞❤️,your dad m thoughts this morning niecy
57,2022-05-20 08:40:23+00:00,@ArenaFlowers You could run for election on that: https://t.co/eFRMOP7Usq,you could run election that
58,2022-05-20 08:40:22+00:00,@rabbitholer You live 10 mins away! That would be pretty lazy on my part. Not me!,you live 10 mins away that would be pretty lazy my part not me
59,2022-05-20 08:40:22+00:00,Heated seats in an outdoor bar. Game changer! https://t.co/KSgLN29qI4,heated seats outdoor bar game changer
60,2022-05-20 08:40:14+00:00,"What’s sending kids to hospitals with hepatitis—coronavirus, adenovirus, or both? https://t.co/qspcjU0dbu",what s sending kids hospitals with hepatitis coronavirus adenovirus or both
61,2022-05-20 08:40:14+00:00,"@JRBauza @jovenesCs L😂L!

""Rebeldes"" lame-ojetes del Capital https://t.co/uU9UoUj20k",l l rebeldes lame ojetes del capital
62,2022-05-20 08:40:14+00:00,"@long_friday @DJFlanagan2 @HeavenScentxs @J_Donaldson_MP @MichealMartinTD Or eat humble pie and go into the Assembly whinging about the unfairness of the Protocol and accepting Cork woman Michelle O'Neill as First Minister 😆😆 TUV would of course denounce them as ""Lundy's"" but it would be the lesser of two evils for onionism !!",or eat humble pie go into assembly whinging about unfairness protocol accepting cork woman michelle oneill as first minister tuv would course denounce them as lundys but it would be lesser two evils onionism
63,2022-05-20 08:40:11+00:00,Life Rarely Begins With Tungsten Film 1 - @besnardlakes https://t.co/KgphdnhJb1,life rarely begins with tungsten film 1
64,2022-05-20 08:40:07+00:00,@ronanesthetic1 ITK 👀,itk
65,2022-05-20 08:40:06+00:00,Yes https://t.co/qq47Sy6aJC,yes
66,2022-05-20 08:40:06+00:00,De Bromhead bids for classic glory with Star Girls Aalmal  https://t.co/evhCdu9QXo https://t.co/UqVcd9A4I0,de bromhead bids classic glory with star girls aalmal
67,2022-05-20 08:40:06+00:00,1 in 8 of our society are #migrants (600k) yet we have no right to elect people that make decisions about our lives &amp; future. That is a serious deficits of #democracy #VotesForMigrants https://t.co/dm4uRmU4SA,1 8 our society are 600k yet we have no right elect people that make decisions about our lives amp future that is serious deficits
68,2022-05-20 08:40:05+00:00,"2. @Eadaoin_Flynn, Clinical Specialist SLT in Dysphagia, kicking off our day explaining advances in VFU practices &amp; analysis.

Eadaoin highlighting recent literature supporting the importance of optimal pulse and frame rate for image quality and subsequent analysis accuracy 💡 https://t.co/zKRaRv4OU3",2 clinical specialist slt dysphagia kicking off our day explaining advances vfu practices amp analysis eadaoin highlighting recent literature supporting importance optimal pulse frame rate image quality subsequent analysis accuracy
69,2022-05-20 08:40:05+00:00,@normaburke @essencetone43 @PMc276 @Matthew56292321 @Sledgr @Independent_ie @BallyBoy1987 So now you're accusing another person of thinking its funny to be a rapist 🤣 What the hell is wrong with you,so now youre accusing another person thinking its funny be rapist what hell is wrong with you
70,2022-05-20 08:40:03+00:00,"✈️ HOW TO MAKE A PAPER AIRPLANE ✈️ 

@DermotTodayFM &amp; @DaveTodayFM have got you sorted for your next airplane competition with this ‘How To Make A NINJA BABY’ tutorial ✈️🥷 https://t.co/0wIHoxZ21N",how make paper airplane amp have got you sorted your next airplane competition with this how make ninja baby tutorial
71,2022-05-20 08:40:02+00:00,'A Perfect Pairing' starring Victoria Justice and Adam Demos is a surprisingly decent rom com that's worth your attention this Friday night. https://t.co/z8N2QhwVHd,perfect pairing starring victoria justice adam demos is surprisingly decent rom com thats worth your attention this friday night
72,2022-05-20 08:40:00+00:00,@adrianweckler Hope it’s got a smooth jazz soundtrack,hope it s got smooth jazz soundtrack
73,2022-05-20 08:40:00+00:00,@rfhaviland Nor had he read the #GoodFridayAgreement.,nor had he read
74,2022-05-20 08:39:59+00:00,@eclo_ie Would love to Hilary! Will drop you an email!,would love hilary will drop you email
75,2022-05-20 08:39:58+00:00,@TakoaGiving @colombo_ph @IzzyWilkinson9 @SaeedBadr13,
76,2022-05-20 08:39:57+00:00,@Berlinnaeus Do you have coyne article pls Bernie,do you have coyne article pls bernie
77,2022-05-20 08:39:55+00:00,"The word ""raid"" should never be in the same sentence as cannabis. It is designed to demonise and stigmatise people who use or are associated with this drug. 

Ireland needs to wake up and move into the 21st Century. Legalise and regulate cannabis and stop this persecution. https://t.co/iOmipe3szE",word raid should never be same sentence as cannabis it is designed demonise stigmatise people who use or are associated with this drug ireland needs wake up move into 21st century legalise regulate cannabis stop this persecution
78,2022-05-20 08:39:55+00:00,@geraldatwork @bikesnobnyc Sure. But pootling around the city or along a greenway at my speed is kind of different! Glad you're ok,sure but pootling around city or along greenway at my speed is kind different glad youre ok
79,2022-05-20 08:39:54+00:00,@KettyBitch Hahaha,hahaha
80,2022-05-20 08:39:52+00:00,"A wonderful night with @SimonHarrisTD, @podonovan and the Herlihy &amp; O'Donovan Scanlan families in #Monagea.  

𝐻𝑒𝒶𝓉𝒻𝑒𝓁𝓉 𝓉𝒽𝒶𝓃𝓀𝓈 𝒻𝓇𝑜𝓂 𝒞𝑅𝒴 𝐼𝓇𝑒𝓁𝒶𝓃𝒹.

#RememberingNiamhAndDarra💙💙 https://t.co/itX16NQSL4",wonderful night with herlihy amp odonovan scanlan families
81,2022-05-20 08:39:52+00:00,"@Buda_maama 😭😭😭😭 nna ke ba mosoeu bo uncontrollable, ekare ke ngoana, ke hlohile serame kapelo eohle eaka",nna ke ba mosoeu bo uncontrollable ekare ke ngoana ke hlohile serame kapelo eohle eaka
82,2022-05-20 08:39:48+00:00,@soledadobrien Is that your witness as to what happened?,is that your witness as what happened
83,2022-05-20 08:39:47+00:00,@pixelatedbetty Isn't it?,isnt it
84,2022-05-20 08:39:45+00:00,"@ClarNiUigin Nope

Paris is wonderful and I do have preferred European cities to go to but if Paris is on the wish list then Paris is where yo should aim for

I've recently taken on a puppy, best thing I've done but they are work but there is a breed that will fit into your life nicely",nope paris is wonderful i do have preferred european cities go but if paris is wish list then paris is where yo should aim ive recently taken puppy best thing ive done but they are work but there is breed that will fit into your life nicely
85,2022-05-20 08:39:45+00:00,Rain's on the way.... https://t.co/kdPxr158LR,rains way
