,date,content,cleaned_content
61,2022-05-20 09:26:56+00:00,Data: New Jersey Voter Rolls Have 2.4K Registrants 105 Years Old or Older https://t.co/mgCQmlweR5 via @BreitbartNews,data new jersey voter rolls have 2 4k registrants 105 years old or older via
62,2022-05-20 09:26:54+00:00,@supreme_hoka Pwede naman ihiga yang upuan diba? 😂 😂 😂,pwede naman ihiga yang upuan diba
63,2022-05-20 09:26:53+00:00,Nakahanap ako ng siomai na kalasa ng Siomai Fudhaus sa LB. Bye,nakahanap ako ng siomai na kalasa ng siomai fudhaus sa lb bye
64,2022-05-20 09:26:53+00:00,@DaFoxile @HarmonyNodes https://t.co/ilt8vnSzhR,
65,2022-05-20 09:26:53+00:00,@JeromeVincentt Arat na ahhaha 😂,arat na ahhaha
66,2022-05-20 09:26:53+00:00,@alexis1124 🥺💛,
67,2022-05-20 09:26:51+00:00,@wonyoprio https://t.co/vhDsev8NbJ hi po! i have these po ^___^ can tingi po,hi po i have these po can tingi po
68,2022-05-20 09:26:51+00:00,Praying all the best for HOT! lets hit big svt and carats! @pledis_17 #SEVENTEEN #세븐틴,praying all best hot lets hit big svt carats
69,2022-05-20 09:26:50+00:00,True na true👍🏻 https://t.co/POiPjeXdpA,true na true
70,2022-05-20 09:26:50+00:00,@waxmarcelo @FClub_Manila ako din..it’s been a while,ako din it s been while
71,2022-05-20 09:26:50+00:00,MGA BATUGAN NA PULIS WALANG PERA KAYA GANYAN,mga batugan na pulis walang pera kaya ganyan
72,2022-05-20 09:26:50+00:00,@BrontWynston Putik kung maka English akala mo naka Jeep Wrangler 🤣😂😅,putik kung maka english akala mo naka jeep wrangler
73,2022-05-20 09:26:50+00:00,"@knmyconstant Chichay and joaquin

2G2BTEp6 onNETFLIX
#2Good2Miss

Kathryn Bernardo | Daniel Padilla",chichay joaquin 2g2btep6 onnetflix kathryn bernardo daniel padilla
74,2022-05-20 09:26:48+00:00,@nnbnryglmn @iamEddNYEMAS @janreeeb_ @lovepchope @AnakbayanMel ano bang cases yung ndi pa nababayaran?,ano bang cases yung ndi pa nababayaran
75,2022-05-20 09:26:48+00:00,@buttercat0224 @allegryofdcave @AmberTheCorgi Goraaaaa.,goraaaaa
76,2022-05-20 09:26:48+00:00,@abeeharaza12 @anxietyfellaszn 5th month 7 more to go and whole of january,5th month 7 more go whole january
77,2022-05-20 09:26:48+00:00,drop the tags for gbgb first win!!!🎉🤍,drop tags gbgb first win
78,2022-05-20 09:26:47+00:00,@slimchance_ph @UbbieSays Ang laki pala.. tapos me lang sya.. kaloka..,ang laki pala tapos me lang sya kaloka
79,2022-05-20 09:26:47+00:00,What tf would u expect,what tf would u expect
80,2022-05-20 09:26:47+00:00,i'm wondering what my mom is thinking while i'm listening to SAMURAI songs :&gt;,im wondering what my mom is thinking while im listening samurai songs gt
81,2022-05-20 09:26:46+00:00,Salamatt sa basag ef!! @0wwMi3r,salamatt sa basag ef
82,2022-05-20 09:26:46+00:00,ops https://t.co/QjrhVpgF9v,ops
83,2022-05-20 09:26:46+00:00,"Yay, congrats on your 1st win! 💙

#txt #GBGB1stWin 
#GOOD_BOY_GONE_BAD https://t.co/AyRVWVhDEO",yay congrats your 1st win
84,2022-05-20 09:26:45+00:00,"Bibili lang naman po ako ng lugaw bakit may pa quick interview

lifeupdatedsakapitbahayhahahaha",bibili lang naman po ako ng lugaw bakit may pa quick interview lifeupdatedsakapitbahayhahahaha
85,2022-05-20 09:26:43+00:00,So who was under the hat?,so who was under hat
86,2022-05-20 09:26:43+00:00,Kakagutom,kakagutom
87,2022-05-20 09:26:42+00:00,May aawayin talaga ako mamaya🥲,may aawayin talaga ako mamaya
88,2022-05-20 09:26:42+00:00,"@eijkema3 Ja, de 1ste paar keren haalde ik het eraf en verstopte het in de auto of hield het in m'n broekzak, daar was ik snel flauw van en liet het maar netjes zitten. 😂😂😂",ja de 1ste paar keren haalde ik het eraf en verstopte het de auto hield het mn broekzak daar was ik snel flauw van en liet het maar netjes zitten
89,2022-05-20 09:26:40+00:00,ayus tong mga pulis na to kakapal ng apog kukunin cp ko .,ayus tong mga pulis na kakapal ng apog kukunin cp ko
90,2022-05-20 09:26:40+00:00,💨 https://t.co/W8GWRBQ0Db,
91,2022-05-20 09:26:39+00:00,"@knmyconstant Mikay and gino

2G2BTEp6 onNETFLIX
#2Good2Miss

Kathryn Bernardo | Daniel Padilla",mikay gino 2g2btep6 onnetflix kathryn bernardo daniel padilla
92,2022-05-20 09:26:38+00:00,@DaFoxile https://t.co/fxN2SJyMRk,
93,2022-05-20 09:26:36+00:00,#NewProfilePic https://t.co/3UnWSZXr9y,
94,2022-05-20 09:26:36+00:00,beh bat di mo na ako nirereplyan? long-press zone?,beh bat di mo na ako nirereplyan long press zone
95,2022-05-20 09:26:35+00:00,"May is the most beautiful month of the year, a month alive with warm color. The flowers and trees are in full bloom, and even the sun joins this rhapsody be emitting warmer rays. #chirptycircle @chirpty_team #May2022 #KulayRosasAngBukas #LeniLiwanagSaDilim https://t.co/SOrRftBT31",may is most beautiful month year month alive with warm color flowers trees are full bloom even sun joins this rhapsody be emitting warmer rays
96,2022-05-20 09:26:35+00:00,"""Kami po ang We Bare Bears"" 🐻🐻‍❄️🐼 https://t.co/DdjSxWBDhx",kami po ang we bare bears
97,2022-05-20 09:26:34+00:00,"Sarap ng kape, pero mas masarap ako 😅 https://t.co/4mHPLVH8Eq",sarap ng kape pero mas masarap ako
98,2022-05-20 09:26:34+00:00,@ya_joohere Enjoy your day! 🫶🏻 Magliwaliw ka sa Fpark or palamig sa Main Lib 😉😉😉,enjoy your day magliwaliw ka sa fpark or palamig sa main lib
99,2022-05-20 09:26:34+00:00,"Pano naman ako?

@SB19Official 
#STANWORLD #SB19 
#SWNewSeason",pano naman ako
100,2022-05-20 09:26:33+00:00,❔❕🤷‍♀️ https://t.co/pw7ji9Qstk,
101,2022-05-20 09:26:33+00:00,YAAAAS FINALLY! 💗💗💗 https://t.co/sZ5IXoIkVF,yaaaas finally
102,2022-05-20 09:26:33+00:00,@kylejosef Saw it na pala ahahaha,saw it na pala ahahaha
103,2022-05-20 09:26:33+00:00,"Live learn love

3DAYSto TagumPIE WITH EIAN",live learn love 3daysto tagumpie with eian
104,2022-05-20 09:26:33+00:00,@crypto_bearr thanks 💙 https://t.co/llrYYxTdbQ,thanks
105,2022-05-20 09:26:32+00:00,thread na hindi mo maintindihan 😔 https://t.co/GMRKclVDIt,thread na hindi mo maintindihan
106,2022-05-20 09:26:32+00:00,Pa Batangas pala 🤨😤,pa batangas pala
107,2022-05-20 09:26:30+00:00,saw Viy Cortez's blog about shopping for their soon new born and ang gastos. diyosko di bale nalang wag na mag baby,saw viy cortezs blog about shopping their soon new born ang gastos diyosko di bale nalang wag na mag baby
108,2022-05-20 09:26:29+00:00,"@chelseaaopena Waaah!! Thank you, chels!!! 🥺🙏🏻",waaah thank you chels
109,2022-05-20 09:26:29+00:00,https://t.co/6d4eSFsLGP,
110,2022-05-20 09:26:29+00:00,@instantmaki @aldrineishere HAHAHA https://t.co/MrsHly25St,hahaha
111,2022-05-20 09:26:28+00:00,ohhhh,ohhhh
112,2022-05-20 09:26:26+00:00,Umayyyyy,umayyyyy
113,2022-05-20 09:26:26+00:00,Mukhang may patutunguhan tong paglalandi ko. Hahahaha.,mukhang may patutunguhan tong paglalandi ko hahahaha
114,2022-05-20 09:26:25+00:00,🙃,
115,2022-05-20 09:26:25+00:00,"@tightsarntpants @utkrnwn @_martinsy @Proudly__pinay And syempre, gawan ng issue. Maski pilit.",syempre gawan ng issue maski pilit
116,2022-05-20 09:26:25+00:00,Ahhhh may collab ang uniqlo at spy family 😭,ahhhh may collab ang uniqlo at spy family
117,2022-05-20 09:26:21+00:00,@jelolzxs Scam,scam
118,2022-05-20 09:26:20+00:00,yas! https://t.co/4jseve336s,yas
119,2022-05-20 09:26:20+00:00,Don't me,dont me
120,2022-05-20 09:26:20+00:00,@farmersol_ https://t.co/DSSOeV9QsN,
121,2022-05-20 09:26:19+00:00,@shinchiian @jacnpoy_ @_JackofallTR8DS bat di na lang kayo? HAHAHA,bat di na lang kayo hahaha
122,2022-05-20 09:26:19+00:00,Pukingina mo andaming trabaho,pukingina mo andaming trabaho
123,2022-05-20 09:26:19+00:00,Isang tula ang ginawa ng award-winning actress at singer na si Nadine Lustre upang ipaalala sa sarili maging sa madlang pipol na huminga at magdahan-dahan sa buhay. https://t.co/i6etrIco59,isang tula ang ginawa ng award winning actress at singer na si nadine lustre upang ipaalala sa sarili maging sa madlang pipol na huminga at magdahan dahan sa buhay
124,2022-05-20 09:26:19+00:00,@Miesli2 @MaenenL @HardDraverStr @JoostNiemoller Het is netjes naar Rusland terug gegaan zo ook Oekraïne,het is netjes naar rusland terug gegaan zo ook oekra ne
125,2022-05-20 09:26:18+00:00,I'm shameless huh,im shameless huh
126,2022-05-20 09:26:18+00:00,"@knmyconstant Ella and patrick

2G2BTEp6 onNETFLIX
#2Good2Miss

Kathryn Bernardo  | Daniel Padilla",ella patrick 2g2btep6 onnetflix kathryn bernardo daniel padilla
127,2022-05-20 09:26:17+00:00,@HeyItsMe_Matt Ganid po haha,ganid po haha
128,2022-05-20 09:26:17+00:00,@DoyoungPromotes @NFTCarterFN https://t.co/YQCzj1zi5O,
129,2022-05-20 09:26:17+00:00,@yannnngan hehe.san un wet mkts nila anong station,hehe san un wet mkts nila anong station
130,2022-05-20 09:26:15+00:00,"@jaaampot17 That's true. By following such guidelines and rules, the mining companies can show people that #ResponsibleMining is possible.",thats true by following such guidelines rules mining companies can show people that is possible
131,2022-05-20 09:26:15+00:00,@Soullovv Nee-san! What's you plans for today? Any late Friday night parties? :3c,nee san whats you plans today any late friday night parties 3c
132,2022-05-20 09:26:14+00:00,samedttttt https://t.co/dTsvRBCkqE,samedttttt
133,2022-05-20 09:26:14+00:00,I want to be Minji's pupper in my next life,i want be minjis pupper my next life
134,2022-05-20 09:26:13+00:00,"League of Municipalities of the Philippines president Chavit Singson said Friday that the December 2022 barangay and Sangguniang Kabataan (SK) elections should push through.

READ: https://t.co/6MMxAUn3SN
📰ABS CBN NEWS https://t.co/ceA6Jchfei",league municipalities philippines president chavit singson said friday that december 2022 barangay sangguniang kabataan sk elections should push through read abs cbn news
135,2022-05-20 09:26:12+00:00,Gusto ko ng  kape  ☕☕☕,gusto ko ng kape
136,2022-05-20 09:26:12+00:00,"Live your potential 

3DAYSto TagumPIE WITH EIAN",live your potential 3daysto tagumpie with eian
137,2022-05-20 09:26:11+00:00,Nag uumpisa na naman to,nag uumpisa na naman
138,2022-05-20 09:26:10+00:00,stresses overload ah 🥺,stresses overload ah
139,2022-05-20 09:26:10+00:00,Kaya for keeps talaga kaming mga taga-alaga and tagahatid 🥲 https://t.co/4DwN0sahWj,kaya keeps talaga kaming mga taga alaga tagahatid
140,2022-05-20 09:26:09+00:00,wapakels,wapakels
141,2022-05-20 09:26:06+00:00,@iamshhr Eh ano ung mga promo na nilalabas nila te ndi covered ung date?,eh ano ung mga promo na nilalabas nila te ndi covered ung date
142,2022-05-20 09:26:06+00:00,"Lagi ko nalang iniisip na everything happens for a reason. Pero sana minsan alam natin, pata magaan ng konti sa pakiramdam. 🥲",lagi ko nalang iniisip na everything happens reason pero sana minsan alam natin pata magaan ng konti sa pakiramdam
143,2022-05-20 09:26:06+00:00,"Hello! 

Been receiving inquiries regarding lucalab, thence, etc. We’re quite swamped with work right now kaya we’re not taking any pasabuy muna. Waiting for the remaining boxes to arrive na lang rin. 

Will re-open probably 1st/2nd week of June. Thank you! ☺️",hello been receiving inquiries regarding lucalab thence etc we re quite swamped with work right now kaya we re not taking any pasabuy muna waiting remaining boxes arrive na lang rin will re open probably 1st 2nd week june thank you
144,2022-05-20 09:26:04+00:00,ボンボン・マルコス次期大統領、日本にはいつやって来るでしょうね。OFWの人や支持者は、ドゥテルテ大統領来日のときのように大歓迎なのでは https://t.co/Y7pBZ1XByh,ofw
145,2022-05-20 09:26:04+00:00,@kdlexverse RUNTOME EP1 ON KUMU,runtome ep1 kumu
146,2022-05-20 09:26:03+00:00,"#NFT, short for non-fungible token, is in basic terms, a unique, one-of-a-kind unit of data. Unlike other forms of data stored on Blockchain, they are non-interchangeable. This means they are also resistant to reproduction. #NFTCommmunity",short non fungible token is basic terms unique one kind unit data unlike other forms data stored blockchain they are non interchangeable this means they are also resistant reproduction
147,2022-05-20 09:26:01+00:00,"@knmyconstant Katty and angelo

2G2BTEp6 onNETFLIX
#2Good2Miss

Kathryn Bernardo ¦ Daniel Padilla",katty angelo 2g2btep6 onnetflix kathryn bernardo daniel padilla
148,2022-05-20 09:26:01+00:00,"@waenggyu #GBGB1stWin #TXT14thWin
GOOD BOY GONE BAD 1ST WIN
#GOOD_BOY_GONE_BAD   
#TOMORROW_X_TOGETHER   
@TXT_members @TXT_bighit",good boy gone bad 1st win
149,2022-05-20 09:26:00+00:00,@Avalanche_Space @SubQueryNetwork @yuser Another great experiences brought to us this integration. But how reliable and secure this project?,another great experiences brought us this integration but how reliable secure this project
150,2022-05-20 09:26:00+00:00,@notwelsea @KewlMikhail Wag na mag gym. Sakit lang sa katawan yan,wag na mag gym sakit lang sa katawan yan
151,2022-05-20 09:25:57+00:00,im silently hoping for something.,im silently hoping something
152,2022-05-20 09:25:57+00:00,parang want ko mag deact sa socmed tas mag pahinga ganon pero naisip ko baka madami ako ma-miss na chismis HAHAHAHA,parang want ko mag deact sa socmed tas mag pahinga ganon pero naisip ko baka madami ako ma miss na chismis hahahaha
153,2022-05-20 09:25:56+00:00,@_dnllfjrd @AiyeAryeArielle,
154,2022-05-20 09:25:55+00:00,@missufe @galaksi @furrincrypto @TheAnimalAge @Coach_Khaled0 https://t.co/ZAwxI37q4Y,
155,2022-05-20 09:25:55+00:00,Sorry im a bum,sorry im bum
156,2022-05-20 09:25:54+00:00,https://t.co/9wiU7rnsiA,
157,2022-05-20 09:25:52+00:00,@glie__ @theYsaDevilla @_ahgasejb @GOT7 Thank youu 🥺,thank youu
158,2022-05-20 09:25:51+00:00,taenang yan! sumakit ulo ko kase di ako nakapag kape?! LETCHE!!!,taenang yan sumakit ulo ko kase di ako nakapag kape letche
159,2022-05-20 09:25:51+00:00,@lakwatsarah @Proudly__pinay @_martinsy Not yet! Nag-update lang re dog dog then I saw this idiotic tweet.,not yet nag update lang re dog dog then i saw this idiotic tweet
160,2022-05-20 09:25:51+00:00,@zenpromoter manifesting wins,manifesting wins
161,2022-05-20 09:25:50+00:00,Waiting for you.... 🤣😂 @ Eastwood Citywalk https://t.co/Obu7axRL76,waiting you eastwood citywalk
162,2022-05-20 09:25:50+00:00,@Victor3D3rd Jusko HAHAHA akala ko toxic na tayo peenoise mas malaley pala sila,jusko hahaha akala ko toxic na tayo peenoise mas malaley pala sila
163,2022-05-20 09:25:49+00:00,"Posibleng maiproklama sa Mayo 25 ang mga nanalong party-list groups sa nagdaang halalan ayon kay COMELEC Spokesperson Director John Rex Laudiangco
#SMNINewsChannel 
https://t.co/kZGpBO9z0u",posibleng maiproklama sa mayo 25 ang mga nanalong party list groups sa nagdaang halalan ayon kay comelec spokesperson director john rex laudiangco
164,2022-05-20 09:25:49+00:00,"@FootyScran @RockdaleIlinden Had to add ""Oi, it's scran mate!"" in my VAR decision next time. https://t.co/psD89dCxKy",had add oi its scran mate my var decision next time
165,2022-05-20 09:25:49+00:00,"@changtiddie Pink and black,white",pink black white
166,2022-05-20 09:25:48+00:00,@apollogreen06 HINDE,hinde
167,2022-05-20 09:25:48+00:00,@jeromepn @BeeUrwyl Need ba talaga ipost? Eme,need ba talaga ipost eme
168,2022-05-20 09:25:46+00:00,Eto na ang Exciting part sa Office kaloka!,eto na ang exciting part sa office kaloka
169,2022-05-20 09:25:45+00:00,@FakeVel 09064455088,09064455088
170,2022-05-20 09:25:44+00:00,"Life is too short to sit behind a screen and compare ourselves to others. Life is about experiences, about living with a full heart and being grateful for every little thing we have.  ✨",life is too short sit behind screen compare ourselves others life is about experiences about living with full heart being grateful every little thing we have
171,2022-05-20 09:25:44+00:00,TGIF! What are your plans for the weekend?,tgif what are your plans weekend
172,2022-05-20 09:25:42+00:00,"@gyuhansales #GBGB1stWin #TXT14thWin
GOOD BOY GONE BAD 1ST WIN
#GOOD_BOY_GONE_BAD
#TOMORROW_X_TOGETHER
@TXT_members
 
@TXT_bighit",good boy gone bad 1st win
173,2022-05-20 09:25:42+00:00,"日本のフミオ首相が電話会談で次期大統領のマルコス氏を祝福。岸田文雄首相はマルコス氏に対し二国間戦略的パートナーシップをさらに高いレベルに引き上げたいという希望を表明した。
https://t.co/RGpP2QUQdU",
174,2022-05-20 09:25:41+00:00,"@chai85775509 In fairness, you have a point, Chai. I stan for no cyber-bullying for both sides. 💓❤️",fairness you have point chai i stan no cyber bullying both sides
175,2022-05-20 09:25:41+00:00,https://t.co/xjdgd8DMDj,
176,2022-05-20 09:25:41+00:00,"Speak the truth 

3DAYSto TagumPIE WITH EIAN",speak truth 3daysto tagumpie with eian
177,2022-05-20 09:25:40+00:00,@kylejosef Where are u watching 😔,where are u watching
178,2022-05-20 09:25:40+00:00,@petsneakers 0xfa8a79B3Be3d881aDF1F8943912eC4dB2ebbE91c,0xfa8a79b3be3d881adf1f8943912ec4db2ebbe91c
179,2022-05-20 09:25:38+00:00,@solgiv3aways @TrippinApeNFT @NighSingularity @XRPrincesss @patoc_cindy @Bubbly291,
180,2022-05-20 09:25:38+00:00,"The legal counsel of presumptive president Ferdinand ""Bongbong"" Marcos Jr. said Friday petitioners who want to move against a Marcos presidency would have to wait after the proclamation.

READ: https://t.co/s8sGU9gS8j
📰GMA NEWS ONLINE https://t.co/stcTIqBzmk",legal counsel presumptive president ferdinand bongbong marcos jr said friday petitioners who want move against marcos presidency would have wait after proclamation read gma news online
181,2022-05-20 09:25:38+00:00,@princesspromos_ @UltiverseDAO https://t.co/sZXkCii1dz,
