,date,rawContent,cleaned_content
68,2022-09-26 09:52:55+00:00,"You're the best eighty four

CARDAGULAN SA PIE WithEIAN

#EianRances | #SelaGuia 
#SuperSEian",youre best eighty four cardagulan sa pie witheian
69,2022-09-26 09:52:54+00:00,"You're the best eighty three

CARDAGULAN SA PIE WithEIAN

#EianRances | #SelaGuia 
#SuperSEian",youre best eighty three cardagulan sa pie witheian
70,2022-09-26 09:52:54+00:00,@VioletNimue @linglu19 @OniKurisu in that corner...,that corner
71,2022-09-26 09:52:52+00:00,mesti ada kaitan dengan politic ni. babi lah. i pray everyone yang cover this shit up masuk neraka jahanam.,mesti ada kaitan dengan politic ni babi lah i pray everyone yang cover this shit up masuk neraka jahanam
72,2022-09-26 09:52:52+00:00,Are we at swedengate levels yet w the bourdain clip and treatment of migrant workers in SG,are we at swedengate levels yet w bourdain clip treatment migrant workers sg
73,2022-09-26 09:52:52+00:00,@Dumpling88 😲荷兰好厉害！这么一个弹丸小国，贡献这么大🤔,
74,2022-09-26 09:52:51+00:00,@sssorn_clc A real treat to end the day at #MATTERS22 with a multifaceted artist sharing on life as a social media and kpop music icon. @mattersasia has set a high bar on day 1. Time to enjoy the music of the night! @youtubemusic @jasperdonat https://t.co/ovUWMVhG8L,real treat end day at with multifaceted artist sharing life as social media kpop music icon has set high bar day 1 time enjoy music night
75,2022-09-26 09:52:51+00:00,"@Nesswardrush @DoctorMcNut Just happen looking up old tweets for a statistic reply&amp; found you by accident.

PEOPLE(plural) had given you good resp but YOU go silent and crickets there.

I've under impression you fished for outrage&amp;hold up a few crude tweets to smear ""loli wierdos"".
https://t.co/SByBsR6Tf4",just happen looking up old tweets statistic reply amp found you by accident people plural had given you good resp but you go silent crickets there ive under impression you fished outrage amp hold up few crude tweets smear loli wierdos
76,2022-09-26 09:52:51+00:00,"@dienyinacha @Aguocha19 @Africa_Archives It costs money because they give the African countries interest on deposits, which is ABOVE the interbank interest rate on EUR. 

Do you think it's free to administer a currency? 🤡🤡🤡",it costs money because they give african countries interest deposits which is above interbank interest rate eur do you think its free administer currency
77,2022-09-26 09:52:50+00:00,MEEEEEEEEE,meeeeeeeee
78,2022-09-26 09:52:49+00:00,@EastJavaAlter Busettttt. Itu bunga atau apaan,busettttt itu bunga atau apaan
79,2022-09-26 09:52:49+00:00,I just recorded a 3.5 hours #Shadowverse set review with @SuchPettanko... Look forward to it later today!,i just recorded 3 5 hours set review with look forward it later today
80,2022-09-26 09:52:49+00:00,@lpbigmore @eljonesuk I often wondered the same,i often wondered same
81,2022-09-26 09:52:48+00:00,@goal their making it to the semi finals,their making it semi finals
82,2022-09-26 09:52:48+00:00,"👀✨Something exciting is happening on the #ValueChampion 🏴‍☠️🪙
---
Click on here to find out more 👉 https://t.co/0Tv3sPEfkp
---
#VCWORLD #Metaverse https://t.co/gQg7PqoWQa",something exciting is happening click here find out more
